2020-04-10 14:44:08.484[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-04-10 14:44:08.497[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@ab7a938, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3faf2e7d, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4648ce9, org.springframework.test.context.support.DirtiesContextTestExecutionListener@569bf9eb, org.springframework.test.context.transaction.TransactionalTestExecutionListener@61526469, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@274872f8, org.springframework.test.context.event.EventPublishingTestExecutionListener@76ba13c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@eb6449b, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7c351808, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@180e6ac4, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@42b64ab8, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7e985ce9]
2020-04-10 14:44:08.745[main][main] INFO  c.m.g.demo.mapper.MessageMapperTest - Starting MessageMapperTest on DESKTOP-7FGB2I0 with PID 17572 (started by Asus in E:\java\mybatis-generator-demo)
2020-04-10 14:44:08.746[main][main] INFO  c.m.g.demo.mapper.MessageMapperTest - No active profile set, falling back to default profiles: default
2020-04-10 14:44:09.159[main][main] DEBUG org.apache.ibatis.logging.LogFactory - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
2020-04-10 14:44:09.487[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-04-10 14:44:09.696[main][main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-04-10 14:44:10.022[main][main] INFO  c.m.g.demo.mapper.MessageMapperTest - Started MessageMapperTest in 1.488 seconds (JVM running for 3.345)
2020-04-10 14:44:10.370[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-04-10 14:44:10.388[SpringContextShutdownHook][SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-04-10 15:03:17.595[main][main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.mybatis.generator.demo.mapper.MessageMapperTest], using SpringBootContextLoader
2020-04-10 15:03:17.603[main][main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.mybatis.generator.demo.mapper.MessageMapperTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-04-10 15:03:17.603[main][main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.mybatis.generator.demo.mapper.MessageMapperTest]: MessageMapperTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
